species,month,state,gear_type,landings,year,temperature,pressure,dew_point,humidity,wind_speed,wind_chill,uv_index,date
AluAluKacangKacang,1,Kedah,Anchovy Purse Seines,0.33153313,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Bag Nets,0.01194349,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Barrier Nets,0.09650061,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Drift/Gill Nets,17.3438962,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Fish Purse Seines,3.09580867,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Hooks & Lines,5.4779414,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Lift Nets,0.54444268,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Miscellaneous,0.0466027,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Other Seines,0.33420317,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Portable Traps,0.26327666,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
AluAluKacangKacang,1,Kedah,Push/Scoop Nets,0.01421926,2021,27.240950995926266,1008.5598726813844,23.738609176558377,82.12416646292567,8.344475298732382,27.23438942637588,2.1532417498609955,1/1/2021
